City2,mahoz
חוות שיקמים,נגב
שחר,נגב
תירוש,השפלה וההר
"ניר ח""ן",נגב
ניר ח''ן,נגב
חצבה,נגב
נועם,נגב
בית ניר,נגב
שדה משה,נגב
באר אורה,נגב
מקווה ישראל,מרכז
אמציה,נגב
לכיש,נגב
ראש פינה,גולן גליל
אזור תעשייה צ.ח.ר,גולן גליל
שדות מיכה,השפלה וההר
מזכרת בתיה,השפלה וההר
יסוד המעלה,גולן גליל
אופקים,נגב
עוצם,נגב
בת שלמה,מרכז
גדות,גולן גליל
שדה דוד,נגב
איתן,נגב
גפן,השפלה וההר
אליכין,מרכז
מטולה,גולן גליל
זוהר,נגב
יבנאל,עמקים
כפר תבור,עמקים
מנחמיה,עמקים
אילנייה,עמקים
לוזית,השפלה וההר
עתלית,מרכז
המכללה האקדמית כנרת,עמקים
נוגה,נגב
פוריה כפר עבודה,עמקים
כנרת (קבוצה),עמקים
כינרת קבוצה,עמקים
מצפה,עמקים
בית ירח,עמקים
נחושה,השפלה וההר
דגניה ב,עמקים
דגניה א',עמקים
דגניה א,עמקים
כנרת (מושבה),עמקים
כינרת מושבה,עמקים
"יד רמב""ם",השפלה וההר
יד רמב''ם,השפלה וההר
מגדל,עמקים
מרחביה (קיבוץ),עמקים
מרחביה קיבוץ,עמקים
אור הנר,נגב
ניר עוז,נגב
אשדוד,השפלה וההר
אל עזי,השפלה וההר
אשבול,נגב
גן שמואל,מרכז
עין הוד,מרכז
כפר גלעדי,גולן גליל
כפר יובל,גולן גליל
איילת השחר,גולן גליל
קריית ענבים,השפלה וההר
דגניה ב',עמקים
נהלל,עמקים
עין חרוד (מאוחד),עמקים
קבוצת גבע,עמקים
תל יוסף,עמקים
כפר יחזקאל,עמקים
שאנטי במדבר,נגב
גבע,עמקים
כרם בן שמן,השפלה וההר
עין חרוד (איחוד),עמקים
חפצי-בה,עמקים
גיניגר,עמקים
בלפוריה,עמקים
בית אלפא,עמקים
יגור,עמקים
מרחביה (מושב),עמקים
מרחביה מושב,עמקים
"כפר מל""ל",מרכז
כפר מל''ל,מרכז
מצפה רמון,נגב
מאיר שפיה,מרכז
תל עדשים,עמקים
מזרע,עמקים
כפר גדעון,עמקים
כפר סילבר,נגב
כפר חסידים א',עמקים
כפר חסידים,עמקים
אדירים,עמקים
ישובי אומן,עמקים
חופית,מרכז
רמת ישי,עמקים
כעביה,עמקים
שריד,עמקים
שריגים,השפלה וההר
רמת רחל,השפלה וההר
סתריה,השפלה וההר
גת רימון,מרכז
משמר העמק,עמקים
כפר ברוך,עמקים
גבת,עמקים
יפעת,עמקים
רמת דוד,עמקים
עין שמר,מרכז
כפר יהושע,עמקים
ברק,עמקים
שדה יעקב,עמקים
בית זרע,עמקים
גן שלמה,השפלה וההר
גדיש,עמקים
דבורה,עמקים
גבעת ברנר,השפלה וההר
תל מונד,מרכז
אזור תעשייה באר טוביה,השפלה וההר
באר טוביה,השפלה וההר
עיינות,השפלה וההר
עין ורד,מרכז
נען,השפלה וההר
בית חנן,השפלה וההר
חולדה,השפלה וההר
חירות,מרכז
תימורים,השפלה וההר
מלאה,עמקים
ניר יפה,עמקים
חצור,השפלה וההר
גן יבנה,השפלה וההר
עין החורש,מרכז
כפר יונה,מרכז
כפר יעבץ,מרכז
פרדסייה,מרכז
פרדסיה,מרכז
גבעת חיים (מאוחד),מרכז
נטעים,השפלה וההר
אביחיל,מרכז
אפיקים,עמקים
"כפר ביל""ו",השפלה וההר
כפר ביל''ו,השפלה וההר
רמת יוחנן,עמקים
אבן יהודה,מרכז
ירקונה,מרכז
רמת הכובש,מרכז
נעורים,מרכז
כפר הס,מרכז
אשדות יעקב איחוד,עמקים
אשדות יעקב (מאוחד),עמקים
כפר פינס,מרכז
כפר ויתקין,מרכז
הדר עם,מרכז
כפר החורש,עמקים
כפר חיים,מרכז
משמר השרון,מרכז
קדימה-צורן,מרכז
גיבתון,השפלה וההר
מעברות,מרכז
צופית,מרכז
אשדות יעקב (איחוד),עמקים
בית ינאי,מרכז
בית עובד,השפלה וההר
אלישיב,מרכז
חגלה,מרכז
רמות השבים,מרכז
"גבעת ח""ן",מרכז
גבעת חן,מרכז
מוצא עילית,השפלה וההר
בית צבי,מרכז
משמרות,מרכז
"כפר הרא""ה",מרכז
גני עם,מרכז
חיבת ציון,מרכז
כפר ביאליק,עמקים
עין עירון,מרכז
שושנת העמקים,מרכז
גן השומרון,מרכז
גני תקווה,מרכז
מעש,מרכז
שפיים,מרכז
כפר ידידיה,מרכז
ביצרון,השפלה וההר
חבצלת השרון,מרכז
שער העמקים,עמקים
גן חיים,מרכז
יקנעם עילית,עמקים
