date,city,hour,minutes
08.10.2023,תקומה וחוות יזרעם,07,52
08.10.2023,תקומה,07,52
09.10.2023,גברעם,11,27
10.10.2023,מפלסים,13,10
10.10.2023,מטווח ניר עם,13,10
10.10.2023,שדרות,13,12
10.10.2023,איבים,13,12
10.10.2023,ניר עם,13,12
11.10.2023,ניר עוז,13,49
11.10.2023,אשדוד,14,07
11.10.2023,אביבים,17,52
11.10.2023,בית שאן,18,19
11.10.2023,טבריה,18,19
11.10.2023,צפת,18,19
11.10.2023,גורנות הגליל,18,20
11.10.2023,געתון,18,20
11.10.2023,דוב''ב,18,20
11.10.2023,דישון,18,20
11.10.2023,דלתון,18,20
11.10.2023,דפנה,18,20
11.10.2023,הגושרים,18,20
11.10.2023,זרעית,18,20
11.10.2023,חורפיש,18,20
11.10.2023,חניתה,18,20
11.10.2023,יחיעם,18,20
11.10.2023,יערה,18,20
11.10.2023,יפתח,18,20
11.10.2023,יראון,18,20
11.10.2023,כברי,18,20
11.10.2023,כפר בלום,18,20
11.10.2023,כפר סאלד,18,20
11.10.2023,כרם בן זמרה,18,20
11.10.2023,להבות הבשן,18,20
11.10.2023,לימן,18,20
11.10.2023,מזרעה,18,20
11.10.2023,מלכיה,18,20
11.10.2023,מנות,18,20
11.10.2023,מצובה,18,20
11.10.2023,מרכז אזורי מבואות חרמון,18,20
11.10.2023,מתת,18,20
11.10.2023,נאות מרדכי,18,20
11.10.2023,נווה זיו,18,20
11.10.2023,נטועה,18,20
11.10.2023,סאסא,18,20
11.10.2023,ע'ג'ר,18,20
11.10.2023,עבדון,18,20
11.10.2023,עין יעקב,18,20
11.10.2023,עלמה,18,20
11.10.2023,עמיר,18,20
11.10.2023,ערב אל עראמשה,18,20
11.10.2023,אזור תעשייה חצור הגלילית,18,21
11.10.2023,אזור תעשייה כרמיאל,18,21
11.10.2023,אזור תעשייה צ.ח.ר,18,21
11.10.2023,אליפלט,18,21
11.10.2023,אלמגור,18,21
11.10.2023,אמנון,18,21
11.10.2023,בוסתן הגליל,18,21
11.10.2023,ביריה,18,21
11.10.2023,בית ג'אן,18,21
11.10.2023,בית הלל,18,21
11.10.2023,בית העמק,18,21
11.10.2023,בן עמי,18,21
11.10.2023,בענה,18,21
11.10.2023,ג'דידה מכר,18,21
11.10.2023,גשר הזיו,18,21
11.10.2023,דיר אל,18,21
11.10.2023,הילה,18,21
11.10.2023,הר,18,21
11.10.2023,חוסן,18,21
11.10.2023,חמת גדר,18,21
11.10.2023,חצור הגלילית,18,21
11.10.2023,חרשים,18,21
11.10.2023,טובא זנגריה,18,21
11.10.2023,כורזים ורד הגליל,18,21
11.10.2023,כפר גלעדי,18,21
11.10.2023,כפר הנשיא,18,21
11.10.2023,כפר ורדים,18,21
11.10.2023,כפר יובל,18,21
11.10.2023,כפר מסריק,18,21
11.10.2023,כרכום,18,21
11.10.2023,כרמיאל,18,21
11.10.2023,לבון,18,21
11.10.2023,מג'דל כרום,18,21
11.10.2023,מחניים,18,21
11.10.2023,מטולה,18,21
11.10.2023,מנרה,18,21
11.10.2023,מנחמיה,18,24
11.10.2023,מסד,18,24
11.10.2023,מע'אר,18,24
11.10.2023,מצפה נטופה,18,24
11.10.2023,עילבון,18,24
11.10.2023,עינבר,18,24
11.10.2023,פוריה כפר עבודה,18,24
11.10.2023,פוריה נווה עובד,18,24
11.10.2023,פוריה עילית,18,24
11.10.2023,קדרים,18,24
11.10.2023,רביד,18,24
11.10.2023,שדה אילן,18,24
11.10.2023,שרונה,18,24
11.10.2023,טבריה,18,24
11.10.2023,כפר נהר הירדן,18,24
11.10.2023,מצפה,18,24
11.10.2023,אזור תעשייה קדמת גליל,18,24
11.10.2023,אילניה,18,24
11.10.2023,אלומות,18,24
11.10.2023,אפיקים,18,24
11.10.2023,ארבל,18,24
11.10.2023,אשדות יעקב איחוד,18,24
11.10.2023,אשדות יעקב מאוחד,18,24
11.10.2023,אתר ההנצחה גולני,18,24
11.10.2023,בועיינה,18,24
11.10.2023,בית זרע,18,24
11.10.2023,בית ירח,18,24
11.10.2023,בית סוהר צלמון,18,24
11.10.2023,גבעת אבני,18,24
11.10.2023,גינוסר,18,24
11.10.2023,דגניה א,18,24
11.10.2023,דגניה ב,18,24
11.10.2023,הודיות,18,24
11.10.2023,הזורעים,18,24
11.10.2023,ואדי אל חמאם,18,24
11.10.2023,חוקוק,18,24
11.10.2023,בית שאן,18,26
11.10.2023,טבריה,18,26
11.10.2023,צפת,18,26
11.10.2023,דישון,18,26
11.10.2023,עלמה,18,26
11.10.2023,רם און,18,26
11.10.2023,בית שאן,18,29
11.10.2023,טבריה,18,29
11.10.2023,צפת,18,29
11.10.2023,דישון,18,29
11.10.2023,עלמה,18,29
11.10.2023,צפת,18,35
11.10.2023,קורנית,18,35
11.10.2023,קריית טבעון,18,35
11.10.2023,קריית שמונה,18,35
11.10.2023,ראמה,18,35
11.10.2023,ראס עלי,18,35
11.10.2023,ראש פינה,18,35
11.10.2023,רכסים,18,35
11.10.2023,רקפת,18,35
11.10.2023,שבי ציון,18,35
11.10.2023,שומרת,18,35
11.10.2023,שורשים,18,35
11.10.2023,שזור,18,35
11.10.2023,שייח' דנון,18,35
11.10.2023,שכניה,18,35
11.10.2023,שעב,18,35
11.10.2023,שער העמקים,18,35
11.10.2023,שפרעם,18,35
11.10.2023,תל חי,18,35
11.10.2023,אבו סנאן,18,35
11.10.2023,אבטליון,18,35
11.10.2023,אביבים,18,35
11.10.2023,אבירים,18,35
11.10.2023,אבן מנחם,18,35
11.10.2023,אבני איתן,18,35
11.10.2023,אדמית,18,35
11.10.2023,אודם,18,35
11.10.2023,אור הגנוז,18,35
11.10.2023,אורטל,18,35
11.10.2023,אזור תעשייה אכזיב מילואות,18,35
11.10.2023,אזור תעשייה צמח,18,35
11.10.2023,אזור תעשייה קדמת גליל,18,35
11.10.2023,אזור תעשייה רמת דלתון,18,35
11.10.2023,אזור תעשייה תרדיון,18,35
11.10.2023,איילת השחר,18,35
11.10.2023,אילון,18,35
11.10.2023,נעורה,18,35
11.10.2023,נצרת,18,35
11.10.2023,סולם,18,35
11.10.2023,עילוט,18,35
11.10.2023,עין מאהל,18,35
11.10.2023,עפולה,18,35
11.10.2023,ציפורי,18,35
11.10.2023,ריינה,18,35
11.10.2023,רמת דוד,18,35
11.10.2023,רמת ישי,18,35
11.10.2023,רמת צבי,18,35
11.10.2023,שדה יעקב,18,35
11.10.2023,שמשית,18,35
11.10.2023,שריד,18,35
11.10.2023,תל עדשים,18,35
11.10.2023,תמרת,18,35
11.10.2023,בית קשת,18,35
11.10.2023,גדעונה,18,35
11.10.2023,גזית,18,35
11.10.2023,גן נר,18,35
11.10.2023,דבוריה,18,35
11.10.2023,היוגב,18,35
11.10.2023,טורעאן,18,35
11.10.2023,יזרעאל,18,35
11.10.2023,ישובי אומן,18,35
11.10.2023,ישובי יעל,18,35
11.10.2023,כדורי,18,35
11.10.2023,כפר ברוך,18,35
11.10.2023,כפר יחזקאל,18,35
11.10.2023,כפר מצר,18,35
11.10.2023,כפר קיש,18,35
11.10.2023,כפר תבור,18,35
11.10.2023,מגן שאול,18,35
11.10.2023,מוקיבלה,18,35
11.10.2023,מרכז חבר,18,35
11.10.2023,נורית,18,35
13.10.2023,נחל עוז,12,48
13.10.2023,נחל עוז,13,09
13.10.2023,בני נצרים,16,05
14.10.2023,אעבלין,01,10
14.10.2023,שפרעם,01,10
14.10.2023,גורנות הגליל,12,51
23.10.2023,ניר עוז,14,40
23.10.2023,עין הבשור,14,47
31.10.2023,אילות,08,58
31.10.2023,אילת,08,58
31.10.2023,אזור תעשייה שחורת,08,58
08.11.2023,אביבים,19,23
08.11.2023,ברעם,19,23
08.11.2023,יראון,19,23
10.11.2023,דישון,15,10
10.11.2023,יפתח,15,10
10.11.2023,מלכיה,15,10
10.11.2023,מרכז אזורי מבואות חרמון,15,10
10.11.2023,רמות נפתלי,15,10
10.11.2023,גונן,15,10
10.11.2023,כפר בלום,15,10
10.11.2023,כפר סאלד,15,10
10.11.2023,להבות הבשן,15,10
10.11.2023,נאות מרדכי,15,10
10.11.2023,עמיר,15,10
10.11.2023,שדה נחמיה,15,10
10.11.2023,שמיר,15,10
11.11.2023,בית הלל,09,35
11.11.2023,כפר גלעדי,09,35
11.11.2023,כפר יובל,09,35
11.11.2023,מטולה,09,35
11.11.2023,מנרה,09,35
11.11.2023,מעיין ברוך,09,35
11.11.2023,מרגליות,09,35
11.11.2023,משגב עם,09,35
11.11.2023,קריית שמונה,09,35
11.11.2023,תל חי,09,35
11.11.2023,כברי,15,11
11.11.2023,מכללת ספיר,19,07
11.11.2023,גבים,19,07
11.11.2023,שדרות,19,07
11.11.2023,איבים,19,07
11.11.2023,ניר עם,19,07
11.11.2023,מטווח ניר עם,19,07
11.11.2023,מכללת ספיר,23,21
11.11.2023,גבים,23,21
11.11.2023,שדרות,23,21
11.11.2023,איבים,23,21
11.11.2023,ניר עם,23,21
11.11.2023,אור הנר,23,23
11.11.2023,ארז,23,23
13.11.2023,אביבים,12,48
13.11.2023,אזור תעשייה רמת דלתון,12,48
13.11.2023,ברעם,12,48
13.11.2023,ג'ש,12,48
13.11.2023,דלתון,12,48
13.11.2023,יראון,12,48
13.11.2023,כרם בן זמרה,12,48
13.11.2023,עלמה,12,48
13.11.2023,ריחאנייה,12,48
13.11.2023,אביבים,22,34
13.11.2023,ברעם,22,34
13.11.2023,דוב''ב,22,34
13.11.2023,יראון,22,34
13.11.2023,מתת,22,34
13.11.2023,סאסא,22,34
15.11.2023,דפנה,17,48
15.11.2023,הגושרים,17,48
15.11.2023,ע'ג'ר,17,48
15.11.2023,קיבוץ דן,17,48
15.11.2023,שאר ישוב,17,48
15.11.2023,שניר,17,48
19.11.2023,אביבים,10,28
19.11.2023,ברעם,10,28
19.11.2023,יראון,10,28
19.11.2023,אזור תעשייה רמת דלתון,10,32
19.11.2023,ג'ש,10,32
19.11.2023,דוב''ב,10,32
19.11.2023,דלתון,10,32
19.11.2023,כרם בן זמרה,10,32
19.11.2023,מתת,10,32
19.11.2023,סאסא,10,32
19.11.2023,עלמה,10,32
19.11.2023,ריחאנייה,10,32
19.11.2023,בית ספר שדה מירון,10,32
19.11.2023,חורפיש,10,32
19.11.2023,פקיעין,10,32
19.11.2023,צבעון,10,32
19.11.2023,צוריאל,10,32
20.11.2023,אביבים,14,47
20.11.2023,ברעם,14,47
20.11.2023,יראון,14,47
